総数
横浜市
鶴見区
神奈川区
西区
中区
南区
保土ヶ谷区
磯子区
金沢区
港北区
戸塚区
港南区
旭区
緑区
瀬谷区
栄区
泉区
青葉区
戸塚区
川崎市
川崎市
幸区
中原区
高津区
多摩区
宮前区
麻生区
相模原市
緑区
中央区
南区
横須賀市
