name,c_code
c1,凶悪_合計
c2,凶悪_強盗
c3,凶悪_放火
c4,凶悪_その他
c5,粗暴_合計
c6,粗暴_暴行
c7,粗暴_傷害
c8,粗暴_恐喝
c9,粗暴_その他
c10,知能_合計
c11,知能_詐欺
c12,知能_その他
c13,風俗_合計
c14,風俗_強制わいせつ
c15,風俗_その他
c16,その他刑法_合計
c17,その他刑法_器物損壊等
c18,その他刑法_住居侵入
c19,その他刑法_その他
